"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-09-28"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 서대문구"
"읍면동 : 북가좌동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 서대문구 북가좌동","3-161","0003","0161","그린힐빌라트","전세","75.1500","202409","25","17,050","0","3","1997","증가로24바길 45","202410~202610","갱신","사용","17,000","60","연립다세대"
"2","서울특별시 서대문구 북가좌동","3-125","0003","0125","건국시티빌","전세","47.3700","202409","23","19,000","0","1","2016","증가로24나길 24-9","202409~202609","갱신","사용","21,000","0","연립다세대"
"3","서울특별시 서대문구 북가좌동","346-1","0346","0001","라운드아트빌(346-1)","월세","59.9700","202409","23","21,600","12","4","2001","거북골로24길 45","202410~202610","신규","-","","","연립다세대"
"4","서울특별시 서대문구 북가좌동","325-28","0325","0028","해밀타운B동","전세","55.3200","202409","21","19,900","0","3","2010","증가로29길 20-25","202409~202609","갱신","-","21,200","0","연립다세대"
"5","서울특별시 서대문구 북가좌동","339-18","0339","0018","대고샤인빌","월세","48.7200","202409","21","5,000","80","2","2015","증가로32안길 61-6","202411~202611","신규","-","","","연립다세대"
"6","서울특별시 서대문구 북가좌동","286-14","0286","0014","서경퍼스트빌","전세","34.6800","202409","21","12,900","0","5","2002","증가로19길 13","202411~202611","신규","-","","","연립다세대"
"7","서울특별시 서대문구 북가좌동","314-30","0314","0030","대명플러스","전세","29.6100","202409","21","17,500","0","3","2014","거북골로20길 33-33","202409~202509","갱신","사용","18,500","0","연립다세대"
"8","서울특별시 서대문구 북가좌동","392-5","0392","0005","미다스A,B동(392-5)","전세","42.1500","202409","20","23,000","0","5","2016","수색로 153","-","-","-","","","연립다세대"
"9","서울특별시 서대문구 북가좌동","392-5","0392","0005","미다스A,B동(392-5)","전세","42.1500","202409","20","23,000","0","5","2016","수색로 153","202410~202610","신규","-","","","연립다세대"
"10","서울특별시 서대문구 북가좌동","3-53","0003","0053","우진빌(3-53)","월세","48.2400","202409","19","5,000","70","1","2011","증가로24마길 45","202410~202610","신규","-","","","연립다세대"
"11","서울특별시 서대문구 북가좌동","348-3","0348","0003","한양아트빌(348-3)","월세","80.5700","202409","14","3,000","120","3","2005","거북골로23길 6-6","202411~202611","신규","-","","","연립다세대"
"12","서울특별시 서대문구 북가좌동","342-23","0342","0023","미주맨션","전세","55.9600","202409","14","16,000","0","2","1995","증가로32길 23-7","202411~202611","신규","-","","","연립다세대"
"13","서울특별시 서대문구 북가좌동","342-24","0342","0024","대일빌라","전세","38.6100","202409","13","15,000","0","2","1996","증가로32길 23-5","202410~202610","신규","-","","","연립다세대"
"14","서울특별시 서대문구 북가좌동","282-28","0282","0028","영주아트빌","전세","25.1600","202409","13","13,000","0","5","2010","증가로26길 10","202410~202610","갱신","-","16,000","0","연립다세대"
"15","서울특별시 서대문구 북가좌동","310-31","0310","0031","백명그린타운(가)","월세","46.0400","202409","13","15,300","20","2","1996","거북골로20길 63-2","202410~202610","신규","-","","","연립다세대"
"16","서울특별시 서대문구 북가좌동","3-7","0003","0007","삼남빌라","전세","53.4300","202409","11","14,000","0","3","1997","증가로12나길 92","202410~202610","신규","-","","","연립다세대"
"17","서울특별시 서대문구 북가좌동","383-11","0383","0011","프렌치빌라","전세","53.1900","202409","11","25,000","0","1","2003","수색로10길 6-4","202409~202609","신규","-","","","연립다세대"
"18","서울특별시 서대문구 북가좌동","280-34","0280","0034","정우베스트빌","월세","55.9500","202409","10","5,000","46","4","2003","증가로26길 1","202410~202510","신규","-","","","연립다세대"
